umap_n_components,umap_n_neighbors,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_epsilon,n_clusters,n_outliers,outlier_pct,silhouette,dbcv,avg_persistence,score
5,15,0.1,15,5,0.0,3,1,0.8264462809917356,0.10429380089044571,0.29000718250455493,0.2872072359229079,0.5799940505734054
5,15,0.1,10,5,0.0,3,1,0.8264462809917356,0.10429380089044571,0.29000718250455493,0.29317987748912305,0.5799940505734054
5,15,0.0,15,5,0.0,4,0,0.0,0.1328297257423401,0.14102544234639755,0.3343656687114038,0.5063346357999101
5,15,0.0,10,5,0.0,4,0,0.0,0.1328297257423401,0.14102544234639755,0.3487257783121068,0.5063346357999101
