umap_n_components,umap_n_neighbors,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_epsilon,n_clusters,n_outliers,outlier_pct,silhouette,dbcv,avg_persistence,score
2,5,0.0,10,3,0.05,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.27244288030171643,0.5964487882986012
2,5,0.0,10,3,0.3,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.27244288030171643,0.5964487882986012
2,5,0.0,10,3,0.1,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.27244288030171643,0.5964487882986012
2,5,0.0,10,3,0.2,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.27244288030171643,0.5964487882986012
2,5,0.0,10,3,0.0,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.27244288030171643,0.5964487882986012
2,5,0.0,12,3,0.1,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.26606493911586215,0.5964487882986012
2,5,0.0,20,3,0.3,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.2835382940664515,0.5964487882986012
2,5,0.0,15,3,0.2,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.30026190168939976,0.5964487882986012
2,5,0.0,15,3,0.0,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.30026190168939976,0.5964487882986012
2,5,0.0,15,3,0.1,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.30026190168939976,0.5964487882986012
2,5,0.0,15,3,0.05,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.30026190168939976,0.5964487882986012
2,5,0.0,15,3,0.3,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.30026190168939976,0.5964487882986012
2,5,0.0,12,3,0.0,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.26606493911586215,0.5964487882986012
2,5,0.0,12,3,0.3,3,1,0.8771929824561403,0.07995782792568207,0.34052375018665265,0.26606493911586215,0.5964487882986012
